index,period,frame_start,frame_end,minute,second,t_min,duration,team,team_name,phase_type,third_start,third_end,x_start,x_end,pen_area_end,is_shot,is_goal,xt_start,xt_end,xt_gain,signed,moment
153,1,18380,18462,30,37,30.617,8.2,Away,Perth,direct,middle_third,middle_third,,9.72,False,False,False,0.0,0.00916,0.00916,-0.00916,
154,1,18462,18520,30,45,30.75,5.8,Away,Perth,create,middle_third,attacking_third,10.36,26.31,False,False,False,0.00916,0.05113,0.04197,-0.04197,
155,1,18520,18530,30,51,30.85,1.0,Home,Brisbane,chaotic,defensive_third,middle_third,-25.69,-6.32,False,False,False,0.02349,0.01405,-0.00944,-0.00944,
156,1,20162,20310,33,35,33.583,14.8,Away,Perth,build_up,defensive_third,defensive_third,-35.45,-33.68,False,False,False,0.00216,0.0036,0.00144,-0.00144,
157,1,20310,20343,33,50,33.833,3.3,Away,Perth,direct,defensive_third,attacking_third,-32.42,19.38,False,False,False,0.00325,0.01918,0.01593,-0.01593,
159,1,20344,20399,33,53,33.883,5.5,Home,Brisbane,build_up,defensive_third,defensive_third,-20.24,-40.28,False,False,False,0.0154,0.02445,0.00905,0.00905,
158,1,20343,20344,33,53,33.883,0.1,Home,Brisbane,create,defensive_third,defensive_third,-19.9,-19.9,False,False,False,0.0154,0.0154,0.0,0.0,
160,1,20399,20449,33,58,33.967,5.0,Home,Brisbane,direct,defensive_third,attacking_third,-39.26,26.7,False,False,False,0.02367,0.00228,-0.02139,-0.02139,
161,1,20449,20516,34,3,34.05,6.7,Away,Perth,chaotic,defensive_third,defensive_third,-27.17,-28.22,False,False,False,0.00158,0.0019,0.00032,-0.00032,
162,1,20516,20547,34,10,34.167,3.1,Home,Brisbane,chaotic,attacking_third,attacking_third,28.32,27.17,False,False,False,0.00136,0.00159,0.00023,0.00023,
163,1,20652,20706,34,24,34.4,5.4,Away,Perth,chaotic,defensive_third,middle_third,-22.59,17.15,False,False,False,0.00282,0.01289,0.01007,-0.01007,
164,1,20706,20763,34,29,34.483,5.7,Home,Brisbane,chaotic,defensive_third,middle_third,-17.74,-1.71,False,False,False,0.01696,0.00759,-0.00938,-0.00938,
